Word,Definition,Example
adroit,"skillful, dexterous","The adroit card shark could deal slyly from the bottom of the deck with no one noticing, not even when they expected what was happening."
adulation,extreme praise,"Though the play was excellent, Martin didn't think it deserved the overwhelming adulation it received from its writers."
adumbrate,to sketch out in a vague way,The coach adumbrated his game plan; none of the players were ready for its unorthodox twists and turns.
adverse,"antagonistic, unfavorable, dangerous","Because of adverse conditions, the novice hikers decided to give up trying to climb the mountain."
advocate,"a) to argue in favor of, b) a person who argues in favor","a) Alvin advocated turning left at the stop sign, even though everyone else thought they should turn right. b) In addition to wanting to turn left at every stop sign, Alvin was an advocate of eating hamburgers at every meal as a wonderful way to support the US cattle industry."
aerial,somehow related to the air,We watched as the F-15 fighters conducted ultra-sophisticated aerial acrobatics.
aesthetic,"artistic, related to one's sense of beauty","We hired Susan, an interior decorator, because she had a wonderful sense of aesthetics."
affable,"friendly, amiable",Everyone likes to be around Hugh because he is so affable and kind-hearted.
affinity,a spontaneous feeling of closeness,"Jerry didn't know why, but he felt an incredible affinity toward Karen, his new friend."
affluent,"rich, wealthy","Mrs. Gregory was affluent, owning a huge house, a yacht, and a small Pacific island."
affront,an insult,Albert was very touchy and took any slight word as a major affront to his supposed honor and dignity.
aggrandize,to increase or make greater,Joseph always mentioned the nicknames of his famous friends as a way to aggrandize his personal standing and reputation.
aggregate,"a) a whole or total, b) together into a mass","a) The three branches of the US government form an aggregate that's much more powerful than any of its individual parts. b) To make any possible rebellion attempt fruitless, the wicked dictator decided to disaggregate as many people from their community support groups as he possibly could."
aggrieved,"distressed, wronged, injured","The self-important, officious foreman overworked his aggrieved employees as soon as his promotion was final."
agile,"quick, nimble",The old greyhounds were far too slow to catch the agile young vixens.
agnostic,doubting the existence of God,"Joey's parents are very religious, but he is agnostic, searching for greater proof."
agriculture,farming,It was a huge step forward for mankind when we shifted from hunting and gathering toward agriculture.alacrity
alacrity,"cheerful readiness, speed","Josh responded to his mother's urgent call with alacrity, rushing to her side immediately."
alias,an assumed name,"The spy used the alias ""John Smith"" when traveling abroad."
alienate,"to make unfriendly, estrange",The manager's harsh criticism alienated many of his employees.
allay,"to reduce, calm",The parent tried to allay the child's fears about the first day of school.
allege,"to claim, assert without proof",The prosecution alleged that the defendant was at the scene of the crime.
alleviate,"to ease, make less severe",The medication helped alleviate the patient's chronic pain.
allocate,"to distribute, assign",The committee must allocate funds to the various departments.
aloof,"distant, reserved, indifferent",The celebrity remained aloof from the crowd of fans.
altercation,a noisy argument or confrontation,The altercation between the two drivers nearly escalated into a physical fight.
altruistic,"unselfish, charitable",Her altruistic nature led her to volunteer at the homeless shelter every weekend.
ambiguous,"unclear, having more than one meaning",The politician's ambiguous statement left voters confused about his true position.
ambivalent,having mixed or contradictory feelings,"She felt ambivalent about the job offer, excited yet anxious about the change."
ameliorate,"to make better, improve",The new policies were designed to ameliorate working conditions in the factory.
amenable,"responsive, agreeable",The professor was amenable to extending the deadline for the assignment.
amicable,"friendly, peaceable","Despite their divorce, the couple maintained an amicable relationship for the sake of their children."
amorphous,without definite shape or form,The amorphous blob in the petri dish continued to grow and change shape.
anachronism,something out of place in time,The character using a cell phone in the historical drama was a glaring anachronism.
anarchy,"absence of government or control, chaos","When the dictator fled, the country descended into anarchy."
anecdote,a short account of an interesting incident,The speaker opened with a humorous anecdote about his childhood.
animosity,strong hostility,There was palpable animosity between the rival teams.
anomaly,something abnormal or inconsistent,The sudden temperature spike was an anomaly in the otherwise stable climate data.
antagonize,to provoke hostility,His rude comments only served to antagonize an already tense situation.
antecedent,"something that comes before, a precursor",Understanding the antecedents of the conflict is crucial to resolving it.
anthology,a collection of literary works,The poetry anthology featured works from various contemporary poets.
antipathy,strong dislike or aversion,She felt a deep antipathy toward anyone who mistreated animals.
antiquated,"old-fashioned, obsolete",The antiquated computer system was finally replaced with modern technology.
antiseptic,"preventing infection, extremely clean",The hospital maintained antiseptic conditions in all operating rooms.
apathy,lack of interest or emotion,Voter apathy contributed to the low turnout in the election.
apex,"the highest point, peak",The athlete reached the apex of his career when he won the championship.
apocalyptic,prophesying destruction or final doom,The film depicted an apocalyptic future where civilization had collapsed.
apocryphal,of doubtful authenticity,The apocryphal story about George Washington and the cherry tree is likely false.
appall,"to horrify, shock",The conditions in the prison appalled the human rights inspectors.
appease,"to calm, satisfy",Chamberlain tried to appease Hitler with territorial concessions.
append,"to attach, add to",Please append your signature to the bottom of the document.
apprehensive,"fearful, anxious",She was apprehensive about the job interview.
apprise,"to inform, notify",The lawyer apprised his client of the latest developments in the case.
approbation,"approval, praise",The student's excellent work received the teacher's approbation.
appropriate,to take for one's own use,The government appropriated funds for the new highway project.
aptitude,natural ability or skill,She showed a remarkable aptitude for mathematics from an early age.
arbitrary,based on random choice rather than reason,The judge's decision seemed arbitrary and unfair.
arcane,"secret, mysterious, known only to a few",The arcane rituals of the secret society were never revealed to outsiders.
archaic,"ancient, outdated",Some of Shakespeare's language seems archaic to modern readers.
archetype,an original model or pattern,The hero's journey is an archetype found in many cultures' mythology.
ardent,"passionate, enthusiastic",He was an ardent supporter of environmental conservation.
arduous,"difficult, requiring great effort",The arduous climb to the summit took twelve hours.
arid,"extremely dry, lacking interest",The arid desert landscape stretched for hundreds of miles.
aristocratic,"relating to the nobility, upper class",The aristocratic family lived in a grand mansion on the estate.
articulate,"expressed clearly, eloquent",The professor was articulate in explaining complex theories.
artifact,"an object made by humans, especially of historical interest",The archaeologists discovered ancient artifacts in the tomb.
artifice,"clever trickery, deception",The con artist used artifice to swindle unsuspecting victims.
artisan,a skilled craftsperson,The artisan handcrafted beautiful pottery using traditional methods.
ascertain,to find out for certain,The detective tried to ascertain the exact time of the crime.
ascetic,"practicing self-denial, austere",The ascetic monk lived a simple life of prayer and meditation.
ascribe,to attribute to a cause or source,Historians ascribe the fall of Rome to multiple factors.
aseptic,free from contamination,The surgeon maintained aseptic techniques throughout the operation.
asinine,"stupid, foolish",His asinine remarks at the meeting embarrassed everyone present.
aspersion,a damaging or derogatory remark,The politician cast aspersions on his opponent's character.
aspire,"to seek to achieve, desire strongly",Many young athletes aspire to compete in the Olympics.
assail,to attack violently,The critics assailed the film for its poor plot and acting.
assent,to express agreement,"After some discussion, the board assented to the proposal."
assert,"to state confidently, declare",She asserted her innocence despite the evidence against her.
assiduous,showing great care and perseverance,The senior students labored assiduously to finish their projects before the deadline.
assuage,"to ease, pacify","The angry beast would in no wise relent in its attack, for its rage had not been assuaged by the meager offerings."
astute,"very clever, crafty",My most astute pupil wrote an absolutely splendid explanation that logically addressed 99% of the questions posed by the panel.
asylum,"a) a place of refuge, a sanctuary, b) institution for the insane","a) The deep woods are my personal asylum when silliness surrounds me and threatens to stay. b) All rapists and most murderers should be placed in asylums, then diagnosed and cured."
atone,"to repent, make amends","To atone for his crimes, the sad and regretful jaywalker volunteered for community service."
atrophy,"to wither away, decay",Any body parts deprived of blood for an extended period will surely atrophy and die.
attain,"to achieve, arrive at",The runners work 50 hours a week to attain their competitive level of fitness.
attribute,"a) to credit, assign, b) a facet or trait",a) He attributes the bulk of his success to his wife's constant pep talks. b) One attribute that all teachers have is an insatiable curiosity about everything.
atypical,"not typical, unusual",Using sewing scissors to cut the lawn is the most atypical thing I've ever seen.
audacious,excessively bold,An audacious freshman actually challenged the upperclassman to a match of wits.
audible,able to be heard,"The cries from the dungeon were barely audible, thus they were heard only during the hush of the night."
augment,"to add to, expand","To augment his root word vocabulary, Kevin bought a Greek and Latin compendium of basic root meanings."
auspicious,"favorable, indicative of good things","The most auspicious time is just before dawn, so that's when we should try again."
austere,"very bare, bleak",The Saharan Desert is one of the most austere habitats on the planet.
avarice,excessive greed,Avarice has been the downfall of many an enterprising gentleman; take notes and hide yourself.
avenge,to seek revenge,"Taking justice into your own hands is probably a notion fed by the impulse to avenge, not the impulse to do the right thing."
aversion,a particular dislike for something,"Being a product of the South, I have a natural aversion to anything that's anti-sports."
avert,"to stop, block abruptly","Because I took his comment the wrong way, I just averted at everything else he said."
ballad,a love song,"I wrote a ballad for the love of my life; however, the love of my life wrote one for someone else."
banal,"dull, commonplace","The presentations lacked originality and spark, thus they all struck me as banal."
bane,a burden,That kid seated behind me has been the absolute bane of my existence since grade school.
bard,a poet or a singer,William Shakespeare is often hailed as the greatest bard of all time.
bashful,"shy, excessively timid",Jerry was so bashful he didn't even answer the beautiful girl when she asked him to go to the prom with her.
battery,"a) a device that supplies power, b) assault, beating","a) Battery-powered cars will be all the rage somewhere in the future. b) Assault and battery is a felony, not just a misdemeanor."
beguile,"to trick, deceive",The devil beguiled Eve until she ate of the forbidden fruit.
behemoth,"large creature, something of tremendous power or size",The behemoths were rolled into place using two tractors and an earth mover.
benevolent,marked by goodness or doing good,All public servants should be commended for their benevolent acts for the community.
benign,"favorable, not threatening, mild","When the doctor said ""it's benign, Mr. Jackson,"" I almost cried aloud."
bequeath,"to pass on in a will, give or donate legally",Matthew's father bequeathed all of his incredible wealth to him and his little brother.
berate,to scold vehemently,The aggravated policeman berated the hot-tempered driver for using profane language in front of a youngster.
bereft,"devoid of, without",An entire village was bereft of food and medical supplies after the tsunami.
beseech,"to beg, plead, implore",The medical community spoke with one voice as it beseeched the country to stop smoking.
bias,"a tendency, inclination, prejudice",The judge's bias against drunk drivers caused him to step aside and allow one of his colleagues to preside in the matter.
bilk,"to cheat, defraud",The salesman bilked several of his prospects out of thousands of dollars in down payments.
blandish,to coax by using flattery,"Blandishing underage teens into taking an alcoholic drink is illegal in most states, but should be illegal in all."
blemish,"an imperfection, flaw","Because of a single blemish on my driving record, my rates are being doubled."
blight,"a) a plague, disease, b) a scar or mark of discoloration",a) The potato blight destroyed the livelihood of many families in Ireland. b) His attitude was an ugly blight upon his daughter's wedding day.
boisterous,loud and full of energy,The cheerleaders were incredibly boisterous during the pep rally last night.
bombastic,"excessively confident, pompous",The entertainer's bombastic comments caused the audience to boo and hiss.
boon,a gift or blessing,The bad weather has erased the boon in business that the income tax refunds fueled.
bourgeois,"an upper middle-class person, a successful capitalist",The bourgeois clients of Hampton Province would not wear off-the-rack items.
brazen,"excessively bold, brash",The invaders' brazen attack took the fort by surprise; no one survived.
brusque,"short, abrupt, dismissive",The businessman's brusque manners offended the hostess to no end.
buffet,"a) to strike with force, b) arrangement of food on a table","a) The soldiers buffeted the prisoners, desperate for information. b) I love to eat buffet style; the all-you-can-eat expectation suits me to a tee."
burnish,"to polish, shine",Good swordsmen burnish their blades after every bloody use.
buttress,"a) to support, hold up, b) something that offers support",a) The column was reinforced so that it could buttress the roof of the building. b) A solid granite buttress supports the entire structure with no help needed.
cacophony,"tremendous noise, disharmonious sound",The amateur orchestra created a deafening cacophony during their warm-ups.
cadence,"a rhythm, progression of sound",The throbbing cadence that the soldiers marched to made them seem even more fierce.
cajole,"to coax, urge, coax",Frank tried to cajole his buddy to skip school with him on his birthday.
calamity,an event with disastrous consequences,Hurricane Francis created a calamity that is still impacting thousands and thousands.
calibrate,"to set, standardize",I attempted to calibrate my car's computer timing system but failed.
callous,"harsh, cold, unfeeling",Callous treatment of prisoners is not something that our government condones.
calumny,an attempt to spoil someone else's reputation by spreading lies,Calumny is a close to perfect synonym for the word slander.
camaraderie,"brotherhood, partnership, jovial unity",Camaraderie among teammates is usually a result of joint suffering and survival.
candor,"honesty, frankness",Brenda's candor was a shock to all who heard her speak so freely of their taboos; they never broach such subjects.
canny,"shrewd, careful",The canny spy gathered all the proof he needed without ever being detected.
canvas,"a) a piece of cloth for an artist to paint, b) to cover, inspect","a) With the canvas in place, the artistic prodigy began to create a wonder. b) We canvassed the area looking for anyone who would buy five boxes of cookies."
capacious,very spacious,The workroom has finally been expanded; it's now capacious enough for our guests.
capitulate,to surrender,The enemy country capitulated in full after the second bomb fell on another city.
capricious,"subject to whim, fickle",Impatient people often make capricious decisions under the least pressure.
captivate,"to get the attention of, hold",The Fourth of July display captivated the children with its colorful bursts.
carouse,"to party, celebrate",The Navy seamen caroused all night after arriving at their first port of call.
carp,"to annoy, pester",The man finally chastised his daughter after enduring her carping for hours.
catalog,"a) to list, enter onto a list, b) a list or collection","a) The prosecutor cataloged the victim's injuries, then made an impassioned plea to the members of the jury. b) Many people shop in online catalogs these days just to save gas money."
catalyze,"to charge, inspire",The king's speech catalyzed his warriors and prepared them to face a deadly foe.
caucus,"a meeting, usually held by people working toward the same goal",The union representatives are having a caucus with the team owners about retirement compensation for players.
caustic,"bitter, biting, acidic",The defendant's caustic threats to the jury really sealed his fate.
cavort,"to leap about, behave boisterously","The couple, after several glasses of wedding cheer, cavorted about like silly children."
censure,"a) harsh criticism, b) to rebuke formally",a) The censure from the officer really shook the unlicensed teen driver. b) The teacher received a sharp censure for threatening to strike one of his students.
cerebral,related to the intellect,"The library's shelves are stacked with cerebral selections on philosophy, religion, etc."
chaos,absolute disorder,"When the announcement was made, utter chaos broke out in the hallways."
chastise,to criticize severely,"After a severe chastisement by her parents, Sue decided to never lie to anyone else ever again."
cherish,to feel or show deep affection towards something,I cherish those things that are dear to me and that will never leave me.
chide,to voice disapproval,Candice chided her twins for keeping their room in such disarray.
choreography,the arrangement of dances,The choreography was superb; only the dancers with sublime skill were allowed to perform it.
chronicle,"a) a written history, b) to write a detailed history",a) The chronicle of the Vietnam War is available with graphic footage. b) Attempting to chronicle an average month in his classroom is a daunting chore.
chronological,arranged in order of time,Drawing timelines is the best way to place events in chronological order.
circuitous,roundabout,The politician gave very confusing and circuitous answers to every question.
circumlocution,indirect and wordy language,The debate team used circumlocution as a strategy to address the illogical aspects of their argument.
circumscribed,"marked off, bounded",The circumscribed area of the football field was drawn with stripes and yardage numbers.
circumspect,"cautious, aware of what's around you",Circumspect people always look at situations from all directions.
circumvent,to go around an established rule or authority,"To circumvent the teacher's no-talk rule, the students pretended to clear their throats constantly."
clairvoyant,able to perceive things that normal people cannot,My mother's incredible ability to see my true intentions was nothing short of clairvoyant.
clamor,"a) a loud noise, b) to loudly insist",a) Every night our upstairs neighbors made such a clamor that the police would have to be called. b) Jesse has been clamoring for a new car all summer long.
clandestine,secret,A clandestine rendezvous was planned by the two secret agents.
cleave,"a) to divide into parts, b) to stick together firmly",a) Mr. Jones cleaved the wood blocks into kindling in no time at all. b) Every married couple must learn to cleave to one another through thick and thin.
clemency,mercy,"After his fifth speeding ticket in a year, Mark could only beg the judge for clemency."
clergy,members of Christian holy orders,Some members of the clergy pray in the wee hours of the morning while others sleep.
cloying,sickeningly sweet,"Excessive praise of anyone can become cloying, making the recipient nauseous."
coagulate,"to thicken, clot",The blood finally began to coagulate after a full hour of intense pressure.
coalesce,to fuse into a whole,"After several months of therapy, the images in Tom's vision began to coalesce once again in his conscious mind."
cobbler,a person who makes or repairs shoes,Most cobblers make shoes out of the finest materials possible.
coerce,to make somebody do something by force or a threat,The defense team charged the prosecutors with trying to coerce witnesses into lying.
cogent,intellectually convincing,Kimberly's position was expressed so cogently I was forced to agree with her.
cognizant,"aware, mindful","Being fully cognizant of all the rules, the misguided teen still slipped out of his room after midnight."
coherent,"logically consistent, intelligible","The victim was hardly coherent, thus the officers had to delay their questioning."
collateral,"a) secondary, b) security for a debt","a) During every military conflict, wise leaders always attempt to minimize the collateral damage. b) Jack had to leave the title to his car as collateral for the $2,500 loan."
colloquial,characteristic of informal conversation,"I ain't got none is a colloquial expression that means ""I don't have any."""
collusion,"secret agreement, conspiracy",Some gamblers work in collusion to cheat naive players out of their hard-earned cash.
colossus,a gigantic statue or thing,"In ancient Corinth, the Colossus of Athena stood tall, testifying of a time long ago."
combustion,the act or process of burning,Combustion engines must have fuel that will ignite and burn with the least spark.
commendation,a notice of approval or recognition,Jason received commendations from his squad leader for an uncommon act of bravery.
commensurate,corresponding in size or amount,Usually starting salaries are commensurate with a person's level of experience.
commodious,roomy,The hotel rooms at the Horizon were both commodious and lavishly decorated.
compelling,"forceful, demanding attention",His description of that lush vale was so compelling I had to see it at least once.
compensate,to make an appropriate payment for something,"Because they were to be compensated every two weeks for their labor, the Bordens arranged their financial affairs accordingly."
complacency,self-satisfied ignorance of danger,"Due to his chronic complacency, Aaron just sat there knowing his test was coming and prepared not at all."
complement,"to complete, make perfect or whole","That picturesque cover page really complements the contents of your book, Henry."
compliant,ready to adapt oneself to another's wishes,"New employees feel this overwhelming need to be compliant with every request made of them, even if it's nonsensical."
complicit,being an accomplice in a wrongful act,"By keeping the theft secret, Madison became complicit in it and was thus charged."
compliment,an expression of esteem or approval,I always compliment young people when they put forth good effort despite the outcome.
compound,"a) to combine parts, b) a combination of different parts, c) a walled area containing a group of buildings",a) The protesters compounded their offense by hurling stones at the police. b) Trying to teach compound sentences to middle school students can be a big chore. c) The terrorists tried to break into the military compound last night; fortunately they were thwarted.
comprehensive,including everything,My accountant did a comprehensive assessment of my finances and found that my spending had to be curtailed.
compress,"to apply pressure, squeeze together","The nurse compressed the area of the wound, trying to stop the bleeding."
compunction,distress caused by feeling guilty,Carrie felt great compunction for the insensitivity he showed to his young employee.
concede,to accept as valid,Benjamin had to ultimately concede that the new rules were indeed necessary.
conciliatory,"friendly, agreeable",Buying flowers for his angry bride was a wise and conciliatory gesture on Paul's part.
concise,brief and direct in expression,Rules should be pronounced in concise statements of protocol with nothing left to assume.
concoct,"to fabricate, make up",She concocted the most vile potion imaginable to prank her bratty little brother.
concomitant,accompanying in a subordinate fashion,Jealousy with its concomitant ill will never have a proper place in a true friendship.
concord,harmonious agreement,"After numerous sessions with the counselor, the embattled couple finally enjoyed the concord that wedded bliss can bring."
condolence,an expression of sympathy and sorrow,Brad offered his condolences to his best friend on the loss of his mother.
condone,"to overlook, pardon, approve",The school board does not condone cheating of any kind.
conducive,"tending to bring about, contributing to",A quiet environment is conducive to studying.
conflagration,a large destructive fire,The conflagration consumed the entire forest in a matter of hours.
confluence,"a flowing together, especially of rivers",The city was built at the confluence of two major rivers.
confound,"to confuse, perplex",The magician's trick confounded even the most skeptical observers.
congenial,"pleasant, friendly, agreeable",The congenial atmosphere made everyone feel welcome.
congenital,existing from birth,The baby was born with a congenital heart defect.
conjecture,"inference, guess","Without more data, any conclusion would be mere conjecture."
connoisseur,"an expert, especially in matters of art or taste","As a wine connoisseur, she could identify the vineyard from a single sip."
conscientious,"careful, principled",The conscientious student double-checked all her work before submitting it.
consecrate,to make sacred,The new church was consecrated by the bishop in a special ceremony.
consensus,general agreement,"After much discussion, the committee reached a consensus."
consign,to give over to another's care,The old furniture was consigned to the auction house.
console,to comfort,The mother tried to console her crying child.
consolidate,"to combine, unite into one",The company decided to consolidate its various offices into a single location.
conspicuous,"obvious, easily noticed",Her bright red hat made her conspicuous in the crowd.
construe,to interpret or explain,His silence was construed as agreement.
consummate,"a) to complete, finish, b) perfect, complete",a) The deal was finally consummated after months of negotiation. b) He was a consummate professional in every way.
contagious,spreading from person to person,Laughter is contagious in a happy crowd.
contempt,"scorn, disrespect",The judge held the uncooperative witness in contempt of court.
contentious,"controversial, quarrelsome",The contentious issue divided the community.
contiguous,"sharing a border, adjacent",The 48 contiguous states exclude Alaska and Hawaii.
contingent,depending on something else,Our plans are contingent upon the weather.
contrite,remorseful,The contrite student apologized for his behavior.
contrived,"artificial, forced",The movie's ending felt contrived and unrealistic.
convene,"to gather, come together",The committee will convene next Monday.
conventional,"ordinary, traditional",She rejected conventional wisdom and pursued her own path.
converge,to move toward one point,All roads converge at the town square.
convey,"to communicate, transport",It's difficult to convey the depth of my gratitude.
conviction,"a) a strong belief, b) the state of being found guilty",a) He spoke with conviction about his political views. b) The conviction resulted in a ten-year sentence.
convoluted,"intricate, complicated",The convoluted plot made the novel hard to follow.
copious,"abundant, plentiful",The student took copious notes during the lecture.
cordial,"warm, friendly",The host gave us a cordial welcome.
corroborate,"to confirm, support with evidence",The witness's testimony corroborated the defendant's alibi.
corrode,"to wear away, deteriorate",Salt water will corrode metal over time.
cosmopolitan,"worldly, sophisticated",New York is known for its cosmopolitan atmosphere.
countenance,"a) facial expression, b) to approve of",a) His stern countenance suggested displeasure. b) I cannot countenance such behavior.
coup,"a brilliant, sudden act",Hiring that executive was a real coup for the company.
covenant,a binding agreement,The neighbors made a covenant to maintain their properties.
covet,to desire eagerly,He coveted his neighbor's new sports car.
covert,"secret, hidden",The spy conducted covert operations behind enemy lines.
credence,acceptance as true,I give little credence to rumors.
credo,a statement of belief,The organization's credo emphasizes integrity and service.
credulous,"gullible, too ready to believe",The credulous tourists were easy targets for con artists.
crescendo,a gradual increase in intensity,The music built to a dramatic crescendo.
crestfallen,"dejected, disappointed",The team was crestfallen after losing the championship.
criterion,a standard for judging,The main criterion for admission is academic excellence.
cryptic,"mysterious, puzzling",The cryptic message left everyone confused.
culinary,relating to cooking,She attended a prestigious culinary school.
culminate,to reach the highest point,Years of training culminated in an Olympic gold medal.
culpable,deserving blame,The negligent driver was found culpable for the accident.
cultivate,"to foster, develop",She worked hard to cultivate friendships in the new city.
cumbersome,"clumsy, unwieldy",The cumbersome equipment was difficult to transport.
cumulative,increasing by successive additions,The cumulative effect of small changes can be significant.
cunning,"crafty, clever",The fox is known for its cunning nature.
curator,one who manages a museum or collection,The museum curator organized the new exhibition.
cursory,"hasty, superficial",A cursory glance revealed nothing unusual.
curtail,"to cut short, reduce",Budget cuts forced them to curtail the program.
cynic,one who believes people are motivated only by selfishness,"As a cynic, he doubted the politician's sincerity."
dearth,"scarcity, lack",There was a dearth of qualified candidates for the position.
debacle,a complete failure or disaster,The product launch turned into a debacle.
debase,to lower in quality or value,Inflation debases the currency.
debauchery,excessive indulgence in pleasure,The party descended into complete debauchery.
debilitate,"to weaken, enfeeble",The illness debilitated him for months.
debunk,to expose as false,The scientist debunked the popular myth.
decadent,characterized by decay or decline,The empire entered a decadent phase before its fall.
decorum,"proper behavior, good taste",The students maintained decorum during the ceremony.
decry,to criticize openly,Activists decry the government's environmental policies.
deem,"to judge, consider",The judge deemed the evidence inadmissible.
defame,to damage the reputation of,The article defamed the celebrity with false accusations.
defer,"a) to postpone, b) to yield to another's opinion",a) We'll defer the meeting until next week. b) I defer to your expertise in this matter.
defile,"to make unclean, corrupt",The vandals defiled the sacred monument.
definitive,"final, conclusive",The study provided definitive proof of the theory.
defunct,no longer existing or functioning,The defunct factory stood empty for years.
degenerate,to decline to a lower state,The discussion degenerated into a shouting match.
deign,to condescend,She wouldn't deign to speak to someone of lower social status.
delectable,delicious,The chef prepared a delectable feast.
delegate,"a) to assign responsibility to another, b) a representative",a) The manager delegated the task to her assistant. b) Each state sent a delegate to the convention.
deliberate,"a) intentional, b) to consider carefully",a) That was a deliberate insult. b) The jury deliberated for hours.
delineate,to describe or portray precisely,The report delineated the steps needed for reform.
delinquent,"a) failing in duty, b) overdue",a) The delinquent teenager skipped school regularly. b) The payment is delinquent by three weeks.
deluge,a great flood or overwhelming amount,A deluge of emails flooded my inbox.
delusion,a false belief,He suffered from delusions of grandeur.
demagogue,a leader who appeals to emotions and prejudices,The demagogue stirred up the crowd with inflammatory rhetoric.
demean,"to degrade, humiliate",I won't demean myself by responding to such accusations.
demeanor,"behavior, manner of conducting oneself",Her calm demeanor reassured the nervous students.
demise,"death, end",The company's demise came after years of mismanagement.
demolish,to destroy completely,The old building was demolished to make way for new construction.
demur,"to object, take exception",Several committee members demurred at the proposal.
demure,"modest, reserved",The demure young woman blushed at the compliment.
denigrate,"to belittle, diminish the opinion of",The essay denigrated all of the people who had gone ahead of the current group.
denounce,to criticize publicly,"The executive denounced all the criticism of his company, calling it unfounded."
deplete,"to use up, exhaust",The marathon depleted all his energy reserves.
deplore,"to feel or express sorrow, disapproval",Nelson deplored the terrible working conditions at his old job.
depravity,wickedness,The assassin's depravity made him willing to slay even the faces of the innocent.
deprecate,"to belittle, depreciate",Self-deprecating humor is the hallmark of the self-assured.
